# sample counts derived from English Wikipedia
ambulance	9350
anatomy	9076
apple	9507
artefact	787
artifact	4905
auto	12901
automobile	22130
berlin	98
bod	99
brougham	51
build	122880
building	553834
bus	92665
cab	9093
car	232819
cause	146952
chassis	19065
cold	51165
compact	23846
compartment	8195
construction	278203
container	13460
convertible	4513
conveyance	1225
coupe	3226
cruiser	15557
determine	66122
edifice	3295
electric	75200
entity	27905
ferment	1006
fermentation	4824
fermenting	635
figure	111868
finisher	2888
fixed	57915
fleet	83033
flesh	11374
form	522295
frame	58213
generated	45340
gondola	1807
hack	2656
hardtop	1734
hatchback	2734
heap	2859
homo	740
human	252227
individual	193129
instrumentality	251
instrumentation	9335
jalopy	66
jeep	1755
landrover	25
limo	670
limousine	2004
loaner	68
machine	88029
man	310645
minicab	91
minicar	67
minivan	784
mortal	6117
motorcar	369
object	68355
orange	26640
orangeness	1
orangish	101
organism	11442
person	209164
phaeton	169
physique	1961
play	478953
prepared	62744
racer	8955
railcar	1503
rigid	10931
roadster	1151
room	161213
runabout	335
saloon	6878
samochód	1
sedan	7008
set	589132
shape	79604
soma	486
somebody	6271
someone	99965
soul	40545
structure	205761
subcompact	518
SUV	2782
taxi	12803
taxicab	1009
tourer	613
transport	96835
unit	177909
vehicle	87369
waggon	153
wagon	13598
wheel	38568
whole	148468
zymology	5
zymolysis	1
zymotic	5
zymurgy	7
